faixaetaria;comocomproucontratou;avaliacaoreclamacao
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 51 a 60 anos;Domicílio;Não Resolvida
entre 61 a 70 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Domicílio;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 41 a 50 anos;Loja física;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 61 a 70 anos;Loja física;Não Resolvida
entre 61 a 70 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 51 a 60 anos;Loja física;Não Resolvida
entre 51 a 60 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 61 a 70 anos;Telefone;Resolvida
entre 51 a 60 anos;Internet;Resolvida
até 20 anos;Telefone;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Internet;Não Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 51 a 60 anos;Domicílio;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Stand, feiras e eventos;Resolvida
entre 21 a 30 anos;Internet;Resolvida
até 20 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 51 a 60 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 41 a 50 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
até 20 anos;Telefone;Resolvida
entre 51 a 60 anos;Loja física;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
mais de 70 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Telefone;Não Avaliada
entre 51 a 60 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
até 20 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Internet;Não Resolvida
entre 21 a 30 anos;Domicílio;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 61 a 70 anos;Telefone;Resolvida
entre 61 a 70 anos;Telefone;Resolvida
entre 51 a 60 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 51 a 60 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 51 a 60 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Internet;Não Resolvida
entre 31 a 40 anos;Domicílio;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Ganhei de presente;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 51 a 60 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 61 a 70 anos;Loja física;Resolvida
até 20 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 31 a 40 anos;Telefone;Resolvida
até 20 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 41 a 50 anos;Loja física;Não Avaliada
entre 51 a 60 anos;Telefone;Não Avaliada
entre 41 a 50 anos;Internet;Não Resolvida
até 20 anos;Stand, feiras e eventos;Resolvida
entre 41 a 50 anos;Telefone;Não Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 61 a 70 anos;Loja física;Não Resolvida
até 20 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Resolvida
entre 51 a 60 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
até 20 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Internet;Não Avaliada
entre 41 a 50 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 51 a 60 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 51 a 60 anos;Internet;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Domicílio;Não Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 51 a 60 anos;Domicílio;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Ganhei de presente;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
até 20 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 51 a 60 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 51 a 60 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Domicílio;Resolvida
entre 61 a 70 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Resolvida
entre 21 a 30 anos;Domicílio;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 41 a 50 anos;Loja física;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 41 a 50 anos;Domicílio;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Catálogo;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
até 20 anos;Loja física;Não Resolvida
mais de 70 anos;Catálogo;Resolvida
entre 41 a 50 anos;Internet;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Telefone;Resolvida
entre 41 a 50 anos;Internet;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
até 20 anos;Loja física;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 51 a 60 anos;Telefone;Resolvida
entre 41 a 50 anos;Não comprei / contratei;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 51 a 60 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Domicílio;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Internet;Não Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Domicílio;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 31 a 40 anos;Domicílio;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Resolvida
até 20 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Stand, feiras e eventos;Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Telefone;Não Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 51 a 60 anos;Domicílio;Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
até 20 anos;Telefone;Resolvida
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Não Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 51 a 60 anos;Internet;Resolvida
entre 41 a 50 anos;Telefone;Resolvida
entre 31 a 40 anos;Loja física;Não Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Telefone;Não Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 31 a 40 anos;Telefone;Resolvida
entre 61 a 70 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Não comprei / contratei;Resolvida
entre 41 a 50 anos;Internet;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Resolvida
entre 21 a 30 anos;Não comprei / contratei;Não Resolvida
entre 61 a 70 anos;Telefone;Resolvida
entre 21 a 30 anos;Internet;Não Resolvida
entre 41 a 50 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 41 a 50 anos;Stand, feiras e eventos;Não Avaliada
entre 21 a 30 anos;Internet;Resolvida
entre 21 a 30 anos;Internet;Resolvida
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
mais de 70 anos;Internet;Não Avaliada
até 20 anos;Internet;Não Resolvida
entre 31 a 40 anos;Internet;Não Avaliada
entre 41 a 50 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 41 a 50 anos;Telefone;Não Avaliada
mais de 70 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
até 20 anos;Internet;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Internet;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 51 a 60 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 61 a 70 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
mais de 70 anos;Loja física;Não Avaliada
entre 51 a 60 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
até 20 anos;Ganhei de presente;Não Avaliada
entre 31 a 40 anos;Internet;Resolvida
entre 31 a 40 anos;Internet;Não Avaliada
entre 41 a 50 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 51 a 60 anos;Internet;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Loja física;Resolvida
entre 21 a 30 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Telefone;Não Resolvida
entre 31 a 40 anos;Internet;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 61 a 70 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Internet;Não Resolvida
entre 51 a 60 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Ganhei de presente;Não Avaliada
entre 51 a 60 anos;Domicílio;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Domicílio;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 31 a 40 anos;Internet;Resolvida
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 41 a 50 anos;Telefone;Não Resolvida
entre 51 a 60 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 51 a 60 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
até 20 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 51 a 60 anos;Loja física;Resolvida
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 51 a 60 anos;Internet;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
até 20 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Telefone;Não Avaliada
entre 51 a 60 anos;Internet;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 41 a 50 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Internet;Não Avaliada
entre 61 a 70 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 61 a 70 anos;Telefone;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 61 a 70 anos;Não comprei / contratei;Não Resolvida
entre 41 a 50 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Internet;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Telefone;Não Avaliada
entre 51 a 60 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Telefone;Não Resolvida
entre 51 a 60 anos;Telefone;Não Resolvida
entre 61 a 70 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Loja física;Não Avaliada
entre 31 a 40 anos;Loja física;Não Resolvida
entre 41 a 50 anos;Internet;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
até 20 anos;Telefone;Resolvida
entre 21 a 30 anos;Loja física;Não Avaliada
entre 41 a 50 anos;Internet;Não Avaliada
entre 31 a 40 anos;Telefone;Não Avaliada
entre 21 a 30 anos;Loja física;Não Avaliada
entre 21 a 30 anos;Não comprei / contratei;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 21 a 30 anos;Internet;Não Avaliada
entre 31 a 40 anos;Não comprei / contratei;Não Avaliada
entre 41 a 50 anos;Não comprei / contratei;Não Resolvida
entre 41 a 50 anos;Domicílio;Não Avaliada
